cur_domain,cur_diff,correct,time_ms,target_domain,target_diff
2,2,0,4975,0,1
0,0,0,14827,2,0
2,0,1,2622,2,1
1,0,0,6283,0,0
2,0,0,5516,0,0
1,0,0,6827,1,0
1,1,1,2373,1,2
0,0,0,12786,0,0
0,1,0,6304,0,0
1,1,0,4132,0,0
2,0,1,6276,2,0
2,2,1,2437,2,2
1,2,0,6495,1,1
2,2,0,573,2,1
1,1,1,11360,1,0
2,0,0,13713,2,0
1,1,1,11343,1,0
1,2,0,11936,1,1
1,0,1,10435,1,0
1,1,1,8567,1,1
0,1,1,13423,0,0
1,1,1,14303,1,0
2,0,1,6559,2,0
0,0,0,13278,0,0
2,1,1,4915,0,1
2,2,0,4165,2,1
2,0,0,6710,1,0
2,1,1,6009,2,1
1,0,0,14370,1,0
1,1,1,5980,1,1
0,1,0,10926,0,0
0,0,1,2554,0,1
2,2,0,2419,2,1
0,1,1,3318,0,1
0,2,0,4724,0,1
2,0,1,9011,2,0
2,0,0,9126,2,0
0,1,1,1461,1,2
2,2,0,4713,2,1
1,2,1,11826,1,1
1,0,1,8952,1,0
1,2,1,7237,0,2
2,1,0,9339,2,0
0,0,1,13052,0,0
1,1,1,6845,2,1
0,1,0,12412,0,0
2,0,0,4610,2,0
2,0,1,12739,2,0
1,0,1,10941,1,0
2,2,0,9805,2,1
2,2,1,5441,2,2
1,2,0,11221,1,1
2,1,1,1480,1,2
2,0,0,10998,2,0
1,2,1,2780,0,2
1,1,0,12630,1,0
0,0,1,6902,0,0
1,0,0,2118,2,0
1,1,0,1251,1,0
2,2,0,14995,2,1
1,2,0,13305,1,1
1,1,1,14214,1,0
2,2,0,4887,2,1
2,1,1,14716,2,0
2,0,0,634,2,0
2,0,1,11168,2,0
0,1,0,976,0,0
0,1,1,4849,0,1
0,1,1,4087,1,1
2,2,1,10760,2,1
2,2,0,14256,2,1
2,0,0,1978,2,0
0,2,1,4477,0,2
0,0,1,10036,0,0
1,2,0,10235,0,1
2,2,0,1430,2,1
2,2,1,10685,2,1
2,0,0,2305,2,0
2,2,0,11829,2,1
0,1,0,11339,0,0
2,2,0,14346,2,1
2,0,0,14210,2,0
1,1,0,11678,1,0
0,0,0,529,0,0
0,2,1,744,2,2
1,0,0,11814,1,0
0,0,1,3082,0,0
2,1,0,4834,2,0
2,1,1,9904,2,1
1,1,1,3284,1,1
2,2,1,12079,2,1
0,0,0,9403,0,0
1,0,1,14972,1,0
0,1,0,13018,0,0
0,1,0,7718,0,0
1,0,1,9872,1,0
0,0,0,8341,0,0
2,2,1,8398,0,2
0,2,0,1274,0,1
1,2,1,6407,2,2
2,1,1,5767,2,1
1,0,0,11083,0,0
1,2,1,5281,1,2
1,1,0,5005,1,0
2,1,1,9600,2,1
0,0,0,11807,0,0
0,2,1,5562,2,2
1,2,1,13502,1,1
2,1,0,10000,2,0
1,0,1,7579,2,0
0,0,1,6280,0,0
0,0,1,5418,0,0
2,2,0,1341,2,1
1,2,1,1391,2,2
1,2,1,6440,1,2
0,1,1,2833,1,2
2,2,1,1019,2,2
0,0,0,10282,0,0
2,1,0,8779,2,0
2,1,0,14047,2,0
1,2,1,1554,1,2
2,2,1,4604,2,2
2,1,1,9155,2,1
0,2,0,8270,0,1
2,0,1,654,2,1
0,2,1,8174,0,2
0,0,0,2701,0,0
0,2,0,1488,2,1
1,1,1,7238,1,1
0,2,0,5679,0,1
0,1,1,3282,0,1
1,0,0,9883,1,0
0,0,1,2298,0,1
1,1,0,6763,0,0
2,2,0,11682,0,1
2,1,1,2925,2,2
2,1,0,13619,2,0
2,0,1,8599,2,0
0,1,0,12476,0,0
1,2,1,5452,1,2
0,1,1,6700,2,1
0,0,1,8921,0,0
1,1,1,2212,0,2
1,2,1,13901,1,1
0,2,1,4241,0,2
1,1,0,2995,1,0
1,2,1,4176,1,2
0,1,1,11147,1,0
0,1,0,5569,1,0
1,1,0,8438,1,0
0,2,0,7838,2,1
1,1,0,1554,1,0
2,2,0,3063,2,1
0,1,1,6040,0,1
1,1,1,10235,1,0
1,0,1,14490,1,0
2,2,0,9180,0,1
1,1,0,11951,1,0
1,2,1,5911,1,2
1,2,0,11130,1,1
2,0,0,7906,2,0
2,0,1,14107,2,0
1,0,1,1011,1,1
2,0,0,14903,2,0
1,1,1,14409,1,0
1,0,0,715,1,0
1,2,1,14440,1,1
1,1,0,8607,1,0
2,0,0,6758,2,0
1,1,1,12033,1,0
0,0,1,11281,0,0
1,2,0,11105,0,1
1,1,0,14935,1,0
2,0,1,5850,2,0
1,0,1,12809,2,0
2,2,0,8825,2,1
0,0,0,7102,0,0
1,1,1,13758,1,0
1,0,0,12343,1,0
0,0,0,10254,1,0
0,1,0,6190,0,0
1,1,0,7417,1,0
0,2,0,6214,0,1
1,0,0,5109,1,0
1,2,1,5583,1,2
0,1,0,1570,0,0
1,1,0,7859,1,0
0,1,0,8160,2,0
2,2,1,14561,0,1
0,1,0,13753,0,0
1,0,1,6311,0,0
1,1,1,8578,0,1
1,1,1,3641,1,1
1,1,1,1871,1,2
0,0,0,4827,0,0
1,1,0,11540,1,0
1,0,1,11123,1,0
2,1,1,14213,2,0
1,1,1,10763,1,0
0,2,1,11246,0,1
1,2,1,5952,1,2
2,2,0,10455,2,1
0,1,0,2973,0,0
1,0,0,11545,1,0
0,0,0,13422,0,0
0,0,1,3989,0,0
0,1,1,783,2,2
2,1,1,3623,2,1
1,1,1,13539,1,0
2,2,1,1839,2,2
1,2,1,1684,2,2
0,0,0,5579,0,0
0,0,0,11687,0,0
0,1,0,4715,0,0
1,0,1,5780,1,0
1,2,1,6274,2,2
0,1,0,6959,1,0
1,2,1,11685,2,1
1,0,1,9088,0,0
1,0,0,11541,1,0
0,1,1,7692,0,1
1,1,0,4533,0,0
0,0,1,8456,0,0
0,2,1,12406,0,1
1,0,0,3844,1,0
0,1,0,7323,0,0
1,1,1,8423,1,1
2,0,0,7891,2,0
1,0,0,9592,1,0
0,0,1,4956,0,0
2,2,0,12006,2,1
0,1,0,11332,0,0
0,1,1,3137,2,1
2,0,1,13481,2,0
2,2,1,6572,2,2
1,0,0,7633,1,0
2,2,1,628,2,2
1,2,1,10344,0,1
2,0,1,13999,2,0
1,1,1,1564,2,2
0,1,0,992,0,0
0,1,1,9240,2,1
1,1,1,9045,1,1
1,1,0,753,1,0
1,2,0,13240,1,1
0,1,0,9456,0,0
0,0,0,6692,0,0
2,2,0,4634,2,1
0,2,0,5707,0,1
2,2,1,8455,2,2
1,2,1,11285,1,1
0,0,1,5434,0,0
2,2,1,3300,2,2
2,1,0,6298,0,0
2,1,1,10435,2,0
0,0,1,9595,0,0
0,2,0,4393,0,1
0,0,1,11390,0,0
2,2,1,1864,2,2
0,1,0,1561,1,0
0,0,0,3709,0,0
0,0,1,13188,0,0
0,0,1,9165,0,0
1,0,1,12245,1,0
0,1,1,2419,0,2
0,0,1,3267,0,0
0,0,1,8257,0,0
2,2,0,10171,0,1
1,0,1,10672,1,0
2,1,0,2485,2,0
2,2,0,14928,2,1
1,1,0,12525,1,0
0,1,1,2182,0,2
1,0,0,2766,1,0
1,0,0,8170,2,0
0,1,1,12039,0,0
0,1,1,817,0,2
2,2,1,3771,2,2
2,0,1,10238,2,0
2,1,1,13525,1,0
2,0,1,1319,2,1
2,2,0,9506,2,1
0,2,0,5999,0,1
2,0,0,8499,2,0
1,2,1,7937,0,2
0,0,0,2131,0,0
1,1,1,6120,2,1
2,1,1,12187,2,0
0,0,0,10837,0,0
0,1,0,3968,0,0
2,0,0,9848,2,0
2,0,0,12039,2,0
2,0,0,7606,2,0
2,2,0,13770,2,1
0,0,1,12966,0,0
1,0,1,6735,1,0
0,2,0,2990,0,1
1,0,0,3421,1,0
2,2,1,12185,1,1
0,1,1,8898,2,1
0,2,1,10990,0,1
1,0,1,4539,0,0
0,0,1,9118,0,0
2,1,1,13682,2,0
2,0,1,8663,2,0
1,2,1,1312,1,2
1,1,0,8775,1,0
2,1,0,11169,2,0
1,1,1,13033,1,0
1,2,1,10194,1,1
1,2,1,10341,2,1
2,2,0,2581,2,1
1,0,0,973,0,0
1,2,0,6655,1,1
0,2,1,2519,0,2
0,1,0,9388,2,0
2,2,0,12743,2,1
2,1,1,9394,2,1
1,2,0,11781,1,1
2,2,1,12467,0,1
0,1,1,11003,0,0
2,1,1,3938,2,1
0,2,1,2451,2,2
0,0,0,11388,0,0
2,2,0,6275,1,1
1,2,1,2053,1,2
0,2,0,9753,0,1
2,0,0,11158,0,0
0,2,1,801,1,2
0,0,1,7015,0,0
1,2,1,2991,2,2
1,1,1,12068,1,0
2,0,0,2568,2,0
1,0,0,3281,1,0
2,2,0,7112,0,1
2,0,1,647,2,1
2,0,0,577,1,0
2,2,0,8371,2,1
2,0,1,14857,2,0
2,0,0,10869,2,0
2,2,1,14283,2,1
1,2,0,6712,0,1
2,2,0,6827,2,1
2,2,1,11343,1,1
1,1,1,1677,1,2
2,0,0,12973,2,0
0,2,0,4825,0,1
2,1,1,14406,1,0
2,0,0,9340,1,0
2,2,1,14315,2,1
1,1,0,2614,1,0
1,0,1,11041,1,0
2,1,1,956,2,2
0,1,0,7411,0,0
2,2,1,12235,2,1
0,1,1,6356,0,1
2,2,1,6111,2,2
2,2,0,2557,1,1
2,1,1,8209,2,1
1,0,1,13451,1,0
0,0,0,7417,0,0
0,2,1,3156,0,2
1,0,1,11577,2,0
2,0,1,5887,0,0
0,2,1,4780,2,2
2,0,1,3495,2,0
1,0,0,9750,1,0
2,1,0,1861,0,0
1,0,1,14027,1,0
1,1,1,13799,1,0
0,0,0,14464,0,0
0,0,0,6110,1,0
1,0,1,1263,1,1
2,2,1,14302,2,1
2,0,0,2264,2,0
0,0,0,8985,0,0
2,2,0,6085,2,1
2,2,0,13377,2,1
2,2,1,2577,0,2
2,1,0,2095,0,0
1,0,0,6141,1,0
0,1,1,12928,2,0
2,2,1,14205,2,1
0,2,1,10501,0,1
1,2,0,2852,1,1
2,2,0,11061,2,1
2,1,0,2650,2,0
1,1,1,9244,1,1
1,1,0,2534,2,0
1,0,1,5599,1,0
1,1,1,14301,1,0
2,0,0,11394,2,0
1,1,0,2016,1,0
1,1,1,4692,1,1
0,0,1,10760,0,0
0,0,0,13908,2,0
2,1,1,805,2,2
2,0,0,5144,2,0
1,1,0,6870,1,0
2,0,1,7541,0,0
2,0,0,4188,2,0
0,1,0,8113,2,0
1,0,1,14153,1,0
1,1,0,14320,1,0
2,0,1,3547,1,0
2,2,1,9112,2,2
0,1,1,9405,0,1
1,2,1,11767,1,1
2,2,0,9162,0,1
1,0,1,2043,2,1
2,0,0,14291,2,0
0,1,0,13340,0,0
0,2,1,13874,2,1
2,2,0,14596,2,1
0,1,1,10485,0,0
1,0,0,5644,1,0
2,2,1,10191,2,1
2,2,1,8558,1,2
2,0,1,14652,2,0
2,0,0,11271,2,0
1,1,1,8649,1,1
2,2,0,3524,1,1
1,2,1,2262,0,2
2,0,0,1268,2,0
1,0,0,3710,1,0
2,0,1,13760,1,0
2,2,0,5763,2,1
2,0,1,4603,2,0
1,1,1,8852,1,1
2,2,0,11975,2,1
1,0,0,8518,1,0
1,0,0,8552,1,0
2,1,1,13309,2,0
2,0,0,1094,2,0
0,1,1,13194,0,0
2,0,1,11132,2,0
0,0,0,3622,0,0
0,0,0,14199,0,0
1,0,1,5894,1,0
2,1,0,2456,2,0
2,2,0,3252,0,1
1,0,0,12766,1,0
2,2,1,12012,2,1
0,0,1,8642,0,0
0,1,1,4718,0,1
0,2,1,14567,0,1
2,1,0,12308,2,0
2,0,0,9557,2,0
1,0,0,4044,1,0
2,2,0,2947,2,1
1,0,0,14033,1,0
1,2,0,14862,1,1
2,1,0,11631,2,0
0,0,1,937,0,1
1,2,1,1862,1,2
1,2,1,8143,0,2
1,1,0,4507,0,0
0,0,1,14339,0,0
2,0,1,11200,2,0
2,2,0,4061,2,1
2,0,1,7804,1,0
2,0,0,8282,2,0
2,2,0,10480,2,1
2,0,0,2031,0,0
2,1,0,635,2,0
0,0,0,12481,1,0
2,1,0,2766,2,0
1,2,1,4462,1,2
2,1,1,2161,2,2
1,2,1,3861,1,2
0,2,1,6575,2,2
1,2,1,8552,1,2
2,0,1,4392,2,0
2,2,1,5659,2,2
0,2,0,14457,0,1
1,2,0,10486,1,1
1,2,1,6521,1,2
0,1,0,12436,1,0
1,0,0,8115,1,0
1,1,1,10118,1,0
0,1,1,724,0,2
2,1,1,10515,2,0
2,0,0,9374,1,0
0,0,0,2585,0,0
0,2,1,10190,0,1
2,0,1,3117,0,0
0,0,1,8667,1,0
1,2,0,4582,1,1
0,1,0,11250,0,0
1,2,1,4718,1,2
0,2,0,14493,0,1
1,2,1,3697,2,2
1,2,1,4132,1,2
1,2,0,13623,1,1
2,0,0,9368,2,0
0,1,0,7102,0,0
0,0,0,4598,1,0
2,2,0,5524,2,1
1,2,0,13763,1,1
1,0,1,13636,0,0
2,1,1,5986,2,1
2,0,0,8261,2,0
2,1,0,3384,0,0
2,0,1,13600,2,0
2,1,1,6923,2,1
2,2,0,8548,2,1
1,2,1,5762,1,2
1,1,1,842,1,2
2,2,0,10206,2,1
2,0,1,10906,2,0
0,1,0,10301,0,0
2,1,0,10287,2,0
0,1,1,9083,0,1
0,2,1,8752,0,2
0,0,0,10278,2,0
0,1,1,11662,0,0
2,2,1,2351,2,2
2,0,0,3896,2,0
2,0,0,8275,1,0
0,2,0,8727,0,1
2,1,0,7726,2,0
2,0,1,4772,2,0
1,1,1,13642,0,0
0,1,1,8622,0,1
2,2,0,11051,2,1
1,0,1,13427,1,0
2,1,0,1533,2,0
1,2,1,2869,1,2
2,2,0,9608,2,1
2,2,1,7872,2,2
0,1,1,8620,1,1
1,0,0,7265,1,0
0,2,1,5290,2,2
2,2,1,6813,2,2
0,2,1,7186,1,2
0,1,0,9599,0,0
2,1,1,9953,1,1
2,1,0,1893,2,0
1,1,0,4201,1,0
2,2,1,1153,2,2
0,1,0,3066,0,0
2,2,0,14879,2,1
0,2,0,14562,2,1
0,0,1,5159,0,0
0,0,1,7452,1,0
1,1,0,6997,1,0
0,1,0,1542,1,0
2,1,0,13843,2,0
0,1,1,1185,1,2
0,0,0,1269,1,0
2,0,0,5163,2,0
1,2,1,9236,1,2
0,2,0,13936,2,1
2,0,1,1645,2,1
0,1,1,4436,0,1
1,1,0,11938,1,0
1,1,1,13833,1,0
1,1,1,12363,1,0
2,0,0,13780,1,0
1,1,0,8493,1,0
1,2,0,9611,1,1
2,1,0,4098,2,0
2,0,1,8029,1,0
2,2,1,860,2,2
0,0,0,1289,0,0
2,0,1,3415,2,0
1,1,1,6318,1,1
2,0,0,8035,2,0
2,1,0,1763,1,0
2,0,1,10273,1,0
2,0,1,9287,2,0
0,2,1,10519,0,1
0,1,1,3075,0,1
0,2,0,14705,0,1
1,1,0,8236,1,0
2,1,0,7646,2,0
0,0,1,3567,0,0
2,2,0,13172,2,1
2,1,1,4274,2,1
1,2,0,12154,1,1
2,1,1,14150,0,0
0,1,1,9561,0,1
1,2,1,1957,1,2
1,2,1,11993,1,1
2,0,0,12411,2,0
1,2,0,4547,1,1
2,0,1,3591,1,0
2,2,1,4160,2,2
1,2,1,5344,0,2
1,2,1,12439,1,1
1,1,0,3283,1,0
0,2,1,2802,0,2
1,2,1,8141,1,2
1,1,0,12629,1,0
0,2,0,5492,0,1
2,0,0,2463,2,0
2,0,0,14527,2,0
0,2,0,2188,1,1
0,1,0,1630,2,0
0,2,0,783,0,1
2,0,0,13990,2,0
1,1,0,10123,1,0
0,0,0,11494,0,0
2,0,0,4525,2,0
1,2,1,4828,1,2
2,0,1,12894,2,0
2,1,1,5908,0,1
1,1,1,7032,1,1
0,1,0,502,0,0
2,0,0,9407,2,0
0,0,1,525,0,1
0,0,1,10848,0,0
2,2,1,977,2,2
1,0,1,9092,1,0
2,2,1,3684,2,2
2,1,0,2137,2,0
0,0,1,8693,0,0
1,2,1,7683,1,2
0,2,0,2282,2,1
2,2,0,1939,2,1
1,0,0,12654,2,0
1,1,0,2497,1,0
2,2,1,2509,2,2
2,1,0,12563,2,0
2,1,1,11868,2,0
2,1,0,10420,2,0
0,0,0,4706,0,0
0,0,1,14232,0,0
1,2,1,12279,1,1
1,0,1,12609,1,0
0,1,1,1650,0,2
2,1,1,9723,2,1
1,2,1,12915,0,1
1,2,0,1924,0,1
2,0,0,5626,2,0
2,2,1,2598,2,2
2,0,0,11314,0,0
1,0,0,4622,1,0
1,0,0,2812,1,0
2,2,0,6554,2,1
1,0,0,5114,1,0
2,0,1,5889,0,0
1,1,0,11791,2,0
2,2,1,13171,0,1
2,1,0,3516,2,0
1,0,1,3965,2,0
0,0,1,8129,0,0
2,1,0,10964,0,0
2,2,1,1219,2,2
0,2,0,10260,0,1
2,2,1,6351,0,2
0,2,1,11986,2,1
2,0,1,739,1,1
2,1,0,2557,2,0
0,0,1,11433,1,0
0,1,1,1004,0,2
2,0,1,8609,2,0
1,0,1,4910,1,0
1,0,1,12584,1,0
2,2,1,2630,2,2
1,2,1,7623,1,2
1,1,1,11773,1,0
1,2,1,11674,0,1
0,1,1,11407,0,0
1,1,1,4487,1,1
0,2,0,3661,0,1
0,0,0,8462,0,0
2,2,1,10352,2,1
0,1,1,2490,0,2
0,1,1,13449,0,0
1,1,0,5990,1,0
1,2,0,789,1,1
1,1,1,10122,1,0
0,2,1,6498,0,2
1,1,1,1758,1,2
1,0,1,3424,1,0
1,1,1,12707,1,0
0,1,1,14304,2,0
1,1,0,7443,1,0
2,2,1,4656,2,2
0,2,1,11657,0,1
1,0,1,4097,1,0
2,1,0,9018,2,0
1,0,0,14436,1,0
1,0,1,11736,2,0
0,1,1,2427,1,2
2,0,0,10766,1,0
0,2,1,4667,0,2
1,1,0,4252,1,0
0,0,1,2231,0,1
1,0,1,4790,1,0
1,1,1,5473,1,1
2,2,0,10979,0,1
0,0,0,9671,0,0
0,0,1,4136,0,0
1,0,0,2610,0,0
0,0,0,11928,0,0
2,1,1,6402,2,1
0,0,0,2051,0,0
2,2,1,14212,1,1
2,0,1,10783,2,0
1,0,1,4069,2,0
1,1,0,5265,1,0
2,2,1,9941,2,2
0,0,1,5400,0,0
0,1,0,11477,0,0
2,0,1,1094,2,1
2,2,0,8498,1,1
0,0,0,1599,0,0
1,0,0,7829,1,0
1,1,1,4053,0,1
0,0,0,9031,0,0
2,1,0,676,2,0
2,0,0,14830,2,0
1,0,1,2861,1,1
0,1,1,14324,0,0
2,0,0,11135,2,0
2,1,1,11043,2,0
1,0,0,5612,1,0
1,2,0,1706,1,1
2,2,1,5861,2,2
1,0,0,13851,1,0
0,2,1,1714,2,2
0,2,1,8680,1,2
0,0,0,12806,0,0
1,2,0,6730,1,1
1,0,1,11369,1,0
0,0,0,11532,0,0
1,1,0,7807,1,0
0,1,0,3839,0,0
2,0,0,4649,2,0
1,0,0,12669,2,0
0,2,0,3007,0,1
1,0,0,6382,0,0
0,1,1,12840,0,0
2,1,1,12414,2,0
0,1,0,9293,0,0
2,0,1,7994,1,0
2,0,1,10142,2,0
0,1,1,14945,1,0
1,2,1,9165,1,2
2,0,0,5738,2,0
0,2,0,12508,0,1
2,1,0,8068,2,0
2,0,1,2436,2,1
1,0,0,13406,1,0
0,2,0,8760,1,1
2,2,0,13360,2,1
2,0,1,1533,2,1
1,2,1,13693,1,1
0,1,0,10808,0,0
0,0,1,13276,2,0
1,2,1,14764,1,1
2,0,1,4336,2,0
0,2,1,9936,2,2
1,0,1,3581,1,0
0,0,0,7784,0,0
0,0,1,12449,0,0
2,1,0,14305,2,0
2,0,1,5333,2,0
2,2,1,4795,2,2
2,2,0,11583,0,1
1,1,0,4213,0,0
0,2,0,7760,0,1
0,0,0,8345,0,0
2,0,1,6422,2,0
2,0,1,1060,2,1
2,1,0,10485,1,0
1,1,1,14228,2,0
0,2,0,3625,0,1
2,2,1,7364,2,2
1,1,1,4299,0,1
2,1,0,13634,2,0
0,2,0,13461,1,1
0,0,1,1099,0,1
0,1,1,7211,2,1
1,2,1,7670,1,2
0,1,1,13350,0,0
2,1,0,11741,2,0
2,2,1,4568,2,2
1,1,1,2219,1,2
0,2,1,6932,0,2
2,1,0,10031,2,0
1,0,1,12213,1,0
2,1,1,5805,2,1
2,1,0,1165,2,0
1,1,0,6216,1,0
2,1,1,11772,2,0
1,1,0,6751,2,0
0,1,0,11617,0,0
1,1,0,6419,1,0
0,1,1,4914,0,1
1,0,1,5491,1,0
2,2,0,6992,2,1
0,0,0,6451,1,0
1,2,0,11553,2,1
0,1,1,11955,0,0
1,2,0,9628,1,1
0,1,0,1778,0,0
1,0,0,14622,2,0
2,1,1,6883,2,1
1,0,0,7348,1,0
1,2,0,9422,1,1
0,0,1,6213,0,0
0,2,1,13364,0,1
2,0,1,4728,2,0
0,2,1,4780,0,2
2,1,1,7105,2,1
2,2,1,13450,2,1
0,1,1,7091,0,1
2,0,1,12037,2,0
2,1,0,1959,2,0
0,2,1,11353,2,1
2,2,1,11876,1,1
0,2,1,8918,0,2
2,1,0,9947,1,0
0,2,0,2161,0,1
1,2,1,14623,1,1
2,0,1,12609,2,0
0,1,0,8804,0,0
1,1,1,5099,1,1
0,0,1,13331,2,0
0,0,0,3313,2,0
2,2,1,13502,2,1
2,1,0,2705,2,0
0,2,0,1427,0,1
1,0,1,3241,1,0
1,1,1,12895,1,0
2,0,1,3996,2,0
0,2,0,4173,1,1
1,2,0,12626,1,1
0,0,0,3329,0,0
0,2,0,5311,0,1
2,2,1,12707,2,1
0,2,1,5674,0,2
2,2,1,14271,2,1
0,2,0,9569,0,1
2,1,0,9552,2,0
2,1,1,10300,2,0
0,1,1,12308,0,0
0,0,0,13278,0,0
0,2,0,14336,0,1
1,1,1,6708,1,1
2,2,1,7796,2,2
2,0,0,8509,1,0
2,0,1,5536,2,0
1,1,1,10135,0,0
1,0,0,5331,1,0
0,1,0,568,0,0
0,2,1,10827,0,1
2,2,0,9931,2,1
2,1,1,13884,2,0
2,2,1,10222,2,1
2,1,1,14359,1,0
0,1,1,9635,0,1
2,0,1,12524,2,0
1,1,1,13892,1,0
1,1,1,12503,1,0
2,1,0,12914,2,0
2,0,1,5699,2,0
0,1,1,2348,0,2
1,0,1,810,1,1
1,2,0,1804,1,1
0,1,0,5750,2,0
2,0,0,5468,2,0
0,2,0,4355,0,1
0,1,1,4610,0,1
1,0,0,13663,1,0
1,1,0,1795,1,0
1,1,1,12633,1,0
1,2,0,11008,1,1
1,2,1,3799,1,2
1,2,1,2276,1,2
0,0,1,4861,0,0
2,0,0,14728,1,0
2,1,1,1043,2,2
1,2,1,12572,1,1
2,0,0,4674,2,0
1,0,0,5659,1,0
2,0,1,11699,2,0
0,2,0,8182,0,1
0,1,0,6997,1,0
0,0,1,5089,2,0
2,0,0,11001,2,0
0,0,0,9193,2,0
2,2,1,8300,2,2
0,0,1,4505,0,0
2,1,1,14094,2,0
0,1,1,5526,0,1
0,0,1,1189,0,1
2,1,0,9732,0,0
2,2,0,11957,0,1
1,2,1,11819,1,1
2,1,1,1646,2,2
2,0,1,12783,0,0
2,1,0,12493,2,0
0,2,1,13528,0,1
1,0,1,8849,0,0
0,0,1,8431,2,0
2,0,0,7361,2,0
0,1,1,1962,0,2
1,0,1,14672,1,0
2,2,0,5649,0,1
1,2,0,9279,1,1
1,1,1,3368,1,1
0,2,1,5046,0,2
0,0,0,4494,0,0
1,1,0,9792,1,0
1,2,1,14579,1,1
0,2,1,2550,0,2
2,1,0,5074,1,0
2,1,0,12934,1,0
1,2,1,5287,1,2
1,1,1,902,1,2
0,2,1,6917,0,2
2,2,1,6121,2,2
2,0,1,11111,2,0
1,1,1,3247,2,1
0,2,1,12021,0,1
1,1,0,3861,1,0
0,0,1,12208,0,0
1,1,0,7600,1,0
